,number,symbol,chart_col,chart_row,chart_x,source,percent,format_percent,source_str,percent_str,source_word
0,1,H,1.0,1.0,0.0,['b'],['1.000'],%.0f,b,1.000,Big Bang fusion
1,2,He,18.0,1.0,40.0,"['y', 'g', 'b']","['0.042', '0.051', '0.907']",%.0f,y,0.042,Dying low-mass stars
2,2,He,18.0,1.0,40.0,"['y', 'g', 'b']","['0.042', '0.051', '0.907']",%.0f,g,0.051,Exploding massive stars
3,2,He,18.0,1.0,40.0,"['y', 'g', 'b']","['0.042', '0.051', '0.907']",%.0f,b,0.907,Big Bang fusion
4,3,Li,1.0,2.0,79.0,"['j', 'b', 'y']","['0.135', '0.230', '0.635']",%.0f,j,0.135,Cosmic ray fission
5,3,Li,1.0,2.0,79.0,"['j', 'b', 'y']","['0.135', '0.230', '0.635']",%.0f,b,0.230,Big Bang fusion
6,3,Li,1.0,2.0,79.0,"['j', 'b', 'y']","['0.135', '0.230', '0.635']",%.0f,y,0.635,Dying low-mass stars
7,4,Be,2.0,2.0,0.0,['j'],['1.000'],%.0f,j,1.000,Cosmic ray fission
8,5,B,13.0,2.0,0.0,['j'],['1.000'],%.0f,j,1.000,Cosmic ray fission
9,6,C,14.0,2.0,65.0,"['g', 'y']","['0.247', '0.753']",%.0f,g,0.247,Exploding massive stars
10,6,C,14.0,2.0,65.0,"['g', 'y']","['0.247', '0.753']",%.0f,y,0.753,Dying low-mass stars
11,7,N,15.0,2.0,65.0,"['g', 'y']","['0.247', '0.753']",%.0f,g,0.247,Exploding massive stars
12,7,N,15.0,2.0,65.0,"['g', 'y']","['0.247', '0.753']",%.0f,y,0.753,Dying low-mass stars
13,8,O,16.0,2.0,0.0,['g'],['1.000'],%.0f,g,1.000,Exploding massive stars
14,9,F,17.0,2.0,0.0,['g'],['1.000'],%.0f,g,1.000,Exploding massive stars
15,10,Ne,18.0,2.0,0.0,['g'],['1.000'],%.0f,g,1.000,Exploding massive stars
16,11,Na,1.0,3.0,0.0,['g'],['1.000'],%.0f,g,1.000,Exploding massive stars
17,12,Mg,2.0,3.0,173.0,"['g', 'c']","['0.992', '0.008']",%.0f,g,0.992,Exploding massive stars
18,12,Mg,2.0,3.0,173.0,"['g', 'c']","['0.992', '0.008']",%.0f,c,0.008,Exploding white dwarfs
19,13,Al,13.0,3.0,177.0,"['g', 'c']","['0.996', '0.004']",%.1f,g,0.996,Exploding massive stars
20,13,Al,13.0,3.0,177.0,"['g', 'c']","['0.996', '0.004']",%.1f,c,0.004,Exploding white dwarfs
21,14,Si,14.0,3.0,114.0,"['g', 'c']","['0.705', '0.295']",%.0f,g,0.705,Exploding massive stars
22,14,Si,14.0,3.0,114.0,"['g', 'c']","['0.705', '0.295']",%.0f,c,0.295,Exploding white dwarfs
23,15,P,15.0,3.0,163.0,"['g', 'c']","['0.972', '0.028']",%.0f,g,0.972,Exploding massive stars
24,15,P,15.0,3.0,163.0,"['g', 'c']","['0.972', '0.028']",%.0f,c,0.028,Exploding white dwarfs
25,16,S,16.0,3.0,100.0,"['g', 'c']","['0.578', '0.422']",%.0f,g,0.578,Exploding massive stars
26,16,S,16.0,3.0,100.0,"['g', 'c']","['0.578', '0.422']",%.0f,c,0.422,Exploding white dwarfs
27,17,Cl,17.0,3.0,133.0,"['g', 'c']","['0.842', '0.158']",%.0f,g,0.842,Exploding massive stars
28,17,Cl,17.0,3.0,133.0,"['g', 'c']","['0.842', '0.158']",%.0f,c,0.158,Exploding white dwarfs
29,18,Ar,18.0,3.0,98.0,"['g', 'c']","['0.558', '0.442']",%.0f,g,0.558,Exploding massive stars
30,18,Ar,18.0,3.0,98.0,"['g', 'c']","['0.558', '0.442']",%.0f,c,0.442,Exploding white dwarfs
31,19,K,1.0,4.0,130.0,"['g', 'c']","['0.823', '0.177']",%.0f,g,0.823,Exploding massive stars
32,19,K,1.0,4.0,130.0,"['g', 'c']","['0.823', '0.177']",%.0f,c,0.177,Exploding white dwarfs
33,20,Ca,2.0,4.0,93.0,"['g', 'c']","['0.505', '0.495']",%.0f,g,0.505,Exploding massive stars
34,20,Ca,2.0,4.0,93.0,"['g', 'c']","['0.505', '0.495']",%.0f,c,0.495,Exploding white dwarfs
35,21,Sc,3.0,4.0,130.0,"['g', 'c']","['0.823', '0.177']",%.0f,g,0.823,Exploding massive stars
